repo,file,url,findings,is_sensitive
shawn0326/zen-3d,tools/doc.config.json,https://github.com/shawn0326/zen-3d/blob/55bce9c6ec40399560e2301c95c81753e5a0cfc4/tools/doc.config.json,,False
timvideos/streaming-system,config.json,https://github.com/timvideos/streaming-system/blob/af5b8e81bddbec5d09eb2e674faa3a9e6030c049/config.json,,False
wirenboard/wb-mqtt-gpio,config.json.wb58,https://github.com/wirenboard/wb-mqtt-gpio/blob/0eb44844ec8d957350a94d9d8d86a43617a87253/config.json.wb58,,False
RafaelVidaurre/yakuza,jsdocconfig.json,https://github.com/RafaelVidaurre/yakuza/blob/bd0643bd82c8a9debcb56c6caacbd21d18b1c7e4/jsdocconfig.json,,False
Sasasu/placeholder,config.jsonnet,https://github.com/Sasasu/placeholder/blob/0c5973dff13c92ccbb2d1f59ff734b43c17f8b46/config.jsonnet,,False
nickoneill/go-publisher,config.json.ex,https://github.com/nickoneill/go-publisher/blob/c76cac9f55a031d7c066d2b7f3be19d7757cc70b/config.json.ex,,False
ANLAB-KAIST/Knapp,config.json.bak,https://github.com/ANLAB-KAIST/Knapp/blob/783ba9248ac48ab2246ef84dfd7e2efd79dcc23e/config.json.bak,,False
BogdanMihaiciuc/BMView,tsconfig.json.txt,https://github.com/BogdanMihaiciuc/BMView/blob/59b7172ad3918462889c63f6858533ae6b350ee1/tsconfig.json.txt,,False
neutralinojs/v2-specification,neutralino.config.json.md,https://github.com/neutralinojs/v2-specification/blob/8abde5d48b6018bc77411578b03e5e637bace202/neutralino.config.json.md,,False
rakam-io/recipes,snowflake-usage/_config.jsonnet,https://github.com/rakam-io/recipes/blob/06db397a1ef1ac58b0877e24aae0b7337be0c579/snowflake-usage/_config.jsonnet,,False
picam360/picam360-viewer,config.json.tmp,https://github.com/picam360/picam360-viewer/blob/7d4f40fd75b9d41828dfd462fe5e4b953f9fe3a7/config.json.tmp,,False
darkmatter2048/WindowsCleaner,settings.py,https://github.com/darkmatter2048/WindowsCleaner/blob/b693b92717eaa8417afd48802f2e2f71d058d308/settings.py,,False
CS-4820-Library-Project/COUNTER-5-Report-Tool-2020-5.0,docs/Settings.py.rst,https://github.com/CS-4820-Library-Project/COUNTER-5-Report-Tool-2020-5.0/blob/5d70a8a8483cb0e1718fb22dbe025437d5076695/docs/Settings.py.rst,,False
amitv87/PiP,settings.py,https://github.com/amitv87/PiP/blob/5e8f31c5694d3013c12b5288986d1e1d96f93f42/settings.py,,False
JoakimEwenson/pyTelldusCaller,settings.py.txt,https://github.com/JoakimEwenson/pyTelldusCaller/blob/a5a24462f7663b1faef7a8b64eed029e24f47980/settings.py.txt,,False
Learning-Python-Team/Particle-Simulator,Settings.py,https://github.com/Learning-Python-Team/Particle-Simulator/blob/7fbacf0073d64fc12f20722b46a769bd2049d84d/Settings.py,,False
CMU-313/docker-intro,settings.py_2.txt,https://github.com/CMU-313/docker-intro/blob/c5af16e14294a13de331c229599114975208cf23/settings.py_2.txt,,False
sta4888/template-project,tmp/settings.py.md,https://github.com/sta4888/template-project/blob/202f52b5a19b3f35178defca343a50ff5afbad3a/tmp/settings.py.md,,False
fgregg/cmap-legistar,pupa_settings.py,https://github.com/fgregg/cmap-legistar/blob/903c3bf841d0bfb21301922cbca71d1ad50099b8/pupa_settings.py,,False
marncz/torcrawler,proxySettings.py,https://github.com/marncz/torcrawler/blob/5d4a89b9d8d6f84f34529dc7c92a1dd7a7074377/proxySettings.py,,False
